Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2100252,2021,06/17/2022,Madison,57 DREAM LAKE DR,304700.00,997500.00,0.3054,Residential,Single Family,07 - Change in Property,after the fact permits,,POINT (-72.675330039 41.356027001)
211463,2021,04/29/2022,Bridgeport,2370 NORTH AVE UNIT #10C,31040.00,69000.00,0.449855072,Residential,Condo,25 - Other,DISTRESS SALE,,POINT (-73.216331011 41.178789982)
210354,2021,04/19/2022,Branford,64 MANORWOOD DR,124100.00,185000.00,0.6708,Residential,Condo,25 - Other,PRIVATE SALE/NOT ON MARKET,,POINT (-72.799567027 41.291979999)
21044,2021,05/23/2022,Chester,1 GORHAM RD,159200.00,490000.00,0.324897959,Residential,Single Family,25 - Other,,EXECUTORS DEED,POINT (-72.460152 41.398044015)
210021,2021,10/06/2021,Danbury,8 ROSE LA 18-14,82000.00,195000.00,0.4205,Residential,Condo,,I09022-46,,POINT (-73.456301965 41.419111007)
210899,2021,06/22/2022,Hamden,16 CARBONELLA DR,139930.00,309000.00,0.4528,Residential,Single Family,,,,POINT (-72.967926018 41.348660021)
210676,2021,04/27/2022,Hamden,44 BELDEN RD,115580.00,300000.00,0.385266667,Residential,Single Family,,,,POINT (-72.954252033 41.351544988)
210178,2021,03/07/2022,Ledyard,22 SUNSET AVE,130760.00,240000.00,0.5448,Residential,Single Family,,,,POINT (-72.050891999 41.48165199)
211655,2021,06/01/2022,Bridgeport,117 ROBIN ST,211520.00,450000.00,0.47,Residential,Two Family,,,,POINT (-73.212954026 41.197944014)
210510,2021,03/25/2022,Fairfield,68 JOAN DRIVE,443240.00,892000.00,0.4969,Residential,Single Family,,,,POINT (-73.27384696 41.196068018)
21248,2021,03/22/2022,Guilford,164 RACE HILL RD,213390.00,399000.00,0.5348,Residential,Single Family,,,,POINT (-72.710176964 41.369022011)
210291,2021,11/30/2021,Danbury,1 COUNTRY VIEW RD,388600.00,730000.00,0.5323,Residential,Condo,,B15002-137,,POINT (-73.526375598 41.388583041)
210735,2021,04/11/2022,Bristol,41 PLEASANT ST,89600.00,253000.00,0.3541,Residential,Four Family,,,,POINT (-72.947116016 41.66979902)
210032,2021,12/10/2021,Easton,90 MARSH ROAD,407260.00,420000.00,0.9696,Residential,Single Family,14 - Foreclosure,,,POINT (-73.258565996 41.237370014)
210703,2021,01/05/2022,Bridgeport,95 HILLSIDE AVE,155070.00,295000.00,0.5256,Residential,Single Family,,,,POINT (-73.217644036 41.18994399)
210280,2021,03/03/2022,Branford,72 HIGHLAND AVE,364500.00,550000.00,0.6627,Residential,Single Family,01 - Family,,,POINT (-72.85322596 41.256167018)
210192,2021,11/22/2021,Hamden,32 FALLON DR,161210.00,310000.00,0.52,Residential,Single Family,,,,POINT (-72.943983028 41.359476993)
210263,2021,08/29/2022,Clinton,5 BRUSH HILL RD,132500.00,285000.00,0.4649,Residential,Single Family,,,,POINT (-72.511901032 41.284195013)
210271,2021,06/07/2022,Ledyard,1550 ROUTE 12,202090.00,210000.00,0.9623,Commercial,,25 - Other,ESTATE SALE,,POINT (-72.073246032 41.414636998)
210055,2021,06/09/2022,Bethlehem,51 BETHLEHEM LN,173100.00,368125.00,0.4702,Residential,Single Family,08 - Part Interest,PARTIAL INTEREST,,POINT (-73.206733984 41.65240699)
2100536,2021,07/14/2022,Naugatuck,186 WEBB RD,153570.00,375000.00,0.4095,Residential,Single Family,,,,POINT (-73.089001017 41.498984006)
210064,2021,10/29/2021,Glastonbury,238 CLARK HILL RD,244100.00,410000.00,0.5953,Residential,Single Family,,,,POINT (-72.559732028 41.645028988)
211426,2021,08/24/2022,Danbury,27 JEANETTE RD,181400.00,430000.00,0.4218,Residential,Single Family,,H09105,,POINT (-73.463750963 41.423788989)
210088,2021,01/20/2022,East Windsor,31 NORTH MAIN ST,82840.00,125000.00,0.6627,Residential,Single Family,,,,POINT (-72.618105026 41.932775994)
210668,2021,04/01/2022,New Britain,282 BATTERSON DR,105980.00,270000.00,0.3925,Residential,Single Family,,,,POINT (-72.783175964 41.708930019)
210018,2021,10/08/2021,Branford,15 SECOND AVE,300000.00,644000.00,0.4658,Residential,Single Family,25 - Other,"2 PARCELS IN ONE DEED/BOUGHT VACANT LOT NEXT LOT DOOR/ASSESSMENT=44,400",,POINT (-72.786784038 41.265657009)
